Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Predicted Rating
Disco Valley,2015.0,134.0,Comedy,,,Sajit Warrier,Rajat Barmecha,Adam Bedi,Lakshmi R. Iyer,4.846316666666669
Divia,2016.0,54.0,"Action, Adventure, Crime",,,Roger Slagle,Devi Singh Rajput,Darryll Alvey,Pranith Andole,5.596999999999998
Divine Lovers,1997.0,134.0,Romance,,,Sai Kabir,Zareen Khan,Unknown,Unknown,6.0136666666666665
Divine Sacrifice,1935.0,134.0,Unknown,,,Rose,Unknown,Unknown,Unknown,4.97473333333333
Divya Drishti,2002.0,120.0,Drama,,,Sidharth Srinivasan,Prasad Athalye,Dibyendu Bhattacharya,Veerendra Chauhan,5.593999999999995
Diwali,1940.0,134.0,Unknown,,,Jayant Desai,Madhuri,Motilal,Vasanti,6.937700000000001
Diwali Ki Raat,1956.0,134.0,Unknown,,,Arjun Hingorani,Dharam Kumar,Talat Mahmood,Roopmala,6.77432142857143
Diwana Tere Dil Ka,1997.0,134.0,Romance,,,K.R. Reddy,Poonam Dhillon,Govinda,Kimi Katkar,6.020283333333334
Diwangi Ne Had Kar Di,2010.0,134.0,Romance,,,Jiten Purohit,Chandni Chopra,Suumeet Darshan,Deep Dhillon,5.069199999999997
Diwani,1934.0,134.0,Unknown,,,D.N. Madhok,Unknown,Unknown,Unknown,5.587666666666666
Diwani,1947.0,134.0,Unknown,,,Chanda,Unknown,Unknown,Unknown,6.543750000000004
Diwani Jawani,1992.0,134.0,Romance,,,M.A. Asravi,Yunus Parvez,Upasna Singh,Ajit Vachani,6.302283333333336
Dna Mein Gandhiji,1997.0,134.0,Comedy,,,Sandeep Nath,Raayo S. Bakhirta,Inaamulhaq,Sanjay Mishra,5.025999999999997
DNA of Love,2017.0,134.0,Romance,,,Amit Kasaria,Gulki Joshi,Adhyayan Suman,Yuri Suri,5.393224999999998
Do Aadmi,1960.0,134.0,Unknown,,,Dwarka Khosla,Paidi Jairaj,Shashikala,Kumud Tripathi,6.395866666666667
Do Aankhen,1974.0,134.0,"Drama, Family",,,Ajoy Biswas,Rekha,Biswajit Chatterjee,Deb Mukherjee,6.192000000000002
Do Auraten,1937.0,134.0,Unknown,,,Moti B. Gidwani,S. Ahmed,Rafiq Ghaznavi,Padmadevi,6.259000000000001
Do Baatein,1949.0,134.0,Unknown,,,Harnam Singh Rawail,Ramola,Maya Banerjee,Narang,6.02581666666667
Do Bachche Dus Haath,1972.0,124.0,Drama,,,Kalpataru,Anupama,Subhash Ghai,Baby Pinky,6.326000000000001
Do Badmash,1932.0,134.0,Unknown,,,Jayant Desai,Dixit,Ghori,Shantakumari,4.890707142857142
Do Bhai,1947.0,134.0,"Drama, Family",,,Munshi Dil,Ulhas,Noor Jehan,Tiwari,6.48595
Do Bhai,1961.0,134.0,"Drama, Family",,,Vishram Bedekar,Abhi Bhattacharya,Anil Kumar,Sulochana Latkar,5.762357142857143
Do Chattane,1974.0,134.0,Action,,,G.H. Sarin,Vikram Makandar,Rakesh Pandey,Joginder Shelly,6.4072000000000005
Do Dil,1947.0,134.0,"Drama, Family",,,Jagdish Sethi,Karan Dewan,Motilal,Badri Prasad,6.310283333333331
Do Dilon Ki Dastaan,1966.0,153.0,Romance,,,Pradeep Kumar,Pradeep Kumar,Vyjayanthimala,Rehman,6.539499999999999
Do Dilon Ki Sangam,1993.0,134.0,Romance,,,Suraj Prakash,Unknown,Unknown,Unknown,5.8891428571428595
Do Dilwale,1977.0,134.0,Romance,,,Mahmood,Mehmood,Mohan Choti,Som Dutt,5.597140476190478
Do Diwane,1936.0,171.0,Unknown,,,Chimanlal Luhar,Shobhna Samarth,Motilal,Lala Yaqoob,6.876
Do Dost,1960.0,134.0,"Drama, Family",,,K. Anand,Chitra,Mehmood,Helen,6.087348071373069
Do Dulhe,1955.0,134.0,Drama,,,Mahadevan K.J.,David Abraham,Agha,Kanhaiya,6.717
Do Dushman,1967.0,134.0,"Action, Adventure, Drama",,,Mohammed Hussain,Dara Singh,Mumtaz,Unknown,6.697583333333332
Do Gunde,1959.0,134.0,"Action, Crime",,,Ajit,Jayshree Gadkar,Daisy Irani,Raaj Kumar,6.312713095238099
Do Guru,1982.0,134.0,Action,,,Ravi Tandon,Shashi Kapoor,Padma Khanna,Pran,4.3699071428571425
Do Haath 100 Bandooken,1974.0,134.0,Action,,,Raj Babu,Ram Krishna Rao,Tyagraj,Unknown,5.838999999999998
Do Hanso Ka Joda,1992.0,134.0,Romance,,,Anup Malik,Beena Bannerjee,Kanchan,Anupam Kher,6.199783333333337
Do It for Me,2020.0,134.0,Romance,,,Hammad Khan,Sheena Lakhani,Nishant Pandey,Unknown,4.661999999999997
Do Jism Ek Jaan Hain Hum,1999.0,134.0,Romance,,,R.P. Swamy,Beena Banerjee,Manvi Goswami,Mohan Joshi,5.666416666666671
Do Juari,1974.0,134.0,Action,,,Jambulingam,Vijay Kumari,A.V.M. Rajan,Muttu Raman,6.154399999999998
Do Khiladi,1976.0,134.0,Drama,,,Jugal Kishore,Vinod Mehra,Zaheera,Shashi Puri,6.329120238095238
Do Kinare,1983.0,134.0,Drama,,,Kavi Raz,Alka,Sukhbir Kang,Kavi Raz,6.066011904761901
Do Ladkiyan,1976.0,134.0,Drama,,,Kolli Pratyagatma,Sanjeev Kumar,Mala Sinha,Tarun Bose,6.38253333333333
Do Mastane,1958.0,134.0,Comedy,,,Tara Harish,Nisar Ahmad Ansari,Geeta Bali,Moti Lal,6.292558333333329
Do Matwale,1966.0,134.0,Action,,,Kamran,Helen,Kamran,Madhumati,5.725333333333333
Do Naina,1947.0,134.0,Unknown,,,Suraiya,Unknown,Unknown,Unknown,6.543750000000004
Do or Die,1944.0,134.0,Unknown,,,Harbans,Sheela,Unknown,Unknown,4.662166666666663
Do Pal,1991.0,134.0,Romance,,,Ravi Rai,Akshay Anand,Anupam Kher,Mushtaq Merchant,4.52105488400488
Do Raha,1952.0,134.0,"Drama, Family",,,Bal Chhabra,Shekhar,Nalini Jaywant,K.N. Singh,6.525133333333328
Do Rang Jeewan Ke,2000.0,134.0,Romance,,,Naresh Goswami,Satnam Kaur,Rajesh Nair,Rohit Raj,4.901878787878787
Do Shabd,1983.0,134.0,Drama,,,Jugal Hansraj,Unknown,Unknown,Unknown,5.690311904761902
Do Shatru,1976.0,134.0,"Action, Drama",,,Kewal Misra,Shatrughan Sinha,Sharmila Tagore,Anil Dhawan,6.467999999999996
Do Shehzaade,1956.0,134.0,Action,,,Unknown,Unknown,Unknown,Unknown,4.738999999999995
Do Thug,1970.0,134.0,Action,,,B.J. Patel,Ajit,Dev Dutt,Faryal,5.772733333333334
Do Writers ki Maut,2018.0,93.0,Comedy,,,Tarun Raj,Dibyendu Bhattacharya,Taranjit Kaur,Priyanka Nath,4.765000000000001
Do Yaaron Ki Yaari,1984.0,134.0,Action,,,Kewal Misra,Shoma Anand,Ruby Bhatia,Kalpana Iyer,5.560583333333335
Doag,1952.0,134.0,Unknown,,,Kanhaiyalal Chaturvedi,Unknown,Unknown,Unknown,6.125666666666672
Dobaaraa,2021.0,134.0,Thriller,,,Anurag Kashyap,Taapsee Pannu,Saswata Chatterjee,Pavail Gulati,6.248949999999999
Doctor G,1997.0,134.0,Unknown,,,Anubhuti Kashyap,Ayushmann Khurrana,Shefali Shah,Unknown,5.6015
Doctor X,1972.0,134.0,Thriller,,,B. Gupta,Ramesh Deo,Som Dutt,Helen,6.150249999999997
Dog's World,1997.0,134.0,"Animation, Adventure, Family",,,Matt Flynn,Unknown,Unknown,Unknown,6.010999999999997
Doli,1947.0,134.0,Unknown,,,S.K. Ojha,Amar,Sulochana Chatterjee,Pratima Devi,7.082330952380955
Dolly Darling,2002.0,134.0,Unknown,,,P. Anil,Almas Khan,Raza Murad,Vinod Tripathi,5.068351343101348
Dolti Naiya,1934.0,134.0,Unknown,,,M. Bhagwandas,Meera,Sohani,Sundari,5.45891666666667
Dolti Naiya,1950.0,134.0,Unknown,,,Bhudo Advani,Amarnath,Dulari,Mukri,6.115333333333336
Don Bhaisahab,1997.0,135.0,Comedy,,,Virag Mishra,Mona Singh,Satish Kaushik,Vinay Pathak,5.072083333333333
Donkey in the City: 3D Animation Film,1997.0,90.0,Animation,,,Rahul Singh,Unknown,Unknown,Unknown,7.23199999999999
Don't Waste People,2013.0,62.0,Documentary,,,Julia Waterhous,Unknown,Unknown,Unknown,6.877999999999997
Doodhwali,2007.0,134.0,Drama,,,Suresh Jain,Tanveer,Kanchan,Abu Khan,6.069278571428568
Doongar Ro Bhed,1985.0,134.0,Unknown,,,Kantilal Rathod,Vinod Arora,Khokha Mukherji,Virendra Razdan,6.382249999999998
Door,2016.0,134.0,Drama,,,Anshuman Barua,Dr. Amitabh Ghosh,Mahesh Sharma,Ghanshyam Varma,5.3843166666666615
Door Chalen,1946.0,134.0,Unknown,,,Phani Majumdar,Naseem Banu,Balraj Sahni,Unknown,6.499930952380953
Door Door Paas Paas,1983.0,134.0,Drama,,,Darshan Laad,Anita,Abhi Bhattacharya,Christl,6.068679329004328
Door Nahin Savera,1991.0,134.0,Drama,,,Charu Kamal Hazarika,Sadan Hazarika,Pranjal,Purabi,5.241491666666664
Door Waadiyon Mein Kahin,1980.0,134.0,Drama,,,Kishore Kumar,Kishore Kumar,Shyamalee,Sonam,5.345083333333326
Doorie,1989.0,134.0,Drama,,,Raj Dutta,Deepika Chikhalia,Yashwant Dutt,Vikram Gokhale,5.331777777777774
Doosara Pati,2004.0,134.0,Thriller,,,Unknown,Unknown,Unknown,Unknown,6.013666666666669
Doosra Kinara,1982.0,134.0,Romance,,,Uzma Ghazanfar,Vijay Saxena,Hind Amro,Saleem Jafri,6.143333333333333
Doosra Roop,1982.0,134.0,Drama,,,B.R. Ishara,Navin Nischol,Pushpa Soni,Abhijeet Sen,6.265319430569433
Doosri Biwi,1991.0,134.0,Thriller,,,Silk Smitha,Unknown,Unknown,Unknown,5.9311428571428575
Doosri Shaadi,1947.0,140.0,"Drama, Family",,,Ram Daryani,Mumtaz Shanti,Ranjit Kumari,David Abraham,6.9373333333333305
Dora Babu,1974.0,163.0,Unknown,,,Rama Rao Tatineni,Kongara Jaggaiah,Akkineni Nageshwara Rao,Gummadi,7.015
Dorangi Duniya,1933.0,134.0,Unknown,,,Pesi Karani,Hadi,Jamshedji,Jillo,5.470900000000001
Dorangia Daku,1940.0,134.0,Unknown,,,Harnam Singh Rawail,Unknown,Unknown,Unknown,4.819666666666669
Dost,1954.0,122.0,Unknown,,,Rajendra Sharma,Suresh,Usha Kiran,Om Prakash,6.600983333333329
Dost,1944.0,134.0,Drama,,,Sm Yusuf,Unknown,Unknown,Unknown,5.783333333333328
Dost Aur Dushman,1971.0,134.0,Action,,,Chand,Vinod Khanna,Shatrughan Sinha,Rekha,5.3896666666666615
Dost Ke Liye,2005.0,134.0,Drama,,,Abbas,Kushboo,Kirti Reddy,Unknown,5.381338095238094
Dostana 2,2021.0,134.0,Comedy,,,Collin D'Cunha,Janhvi Kapoor,Abhishek Banerjee,Kirron Kher,4.054166666666668
Dosti Ke Haath,2002.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,5.835530555555551
Dosti Zindabad,2019.0,130.0,Comedy,,,Partho Ghosh,Rahuul Chwudhary,Mohan Joshi,Shakti Kapoor,5.712899999999994
Double Cross,1938.0,142.0,Unknown,,,Mohan Dayaram Bhavnani,Bimla Kumari,S.B. Nayampalli,Fatty Prasad,6.715999999999997
Double Gadbad,1999.0,134.0,Comedy,,,Ken Ghosh,Tanaaz Currim Irani,Navneet Nishan,Virendra Saxena,5.234783333333333
Dozakh,1987.0,134.0,Drama,,,Suhaas Khandke,Suhaas Khandke,Pallavi Bhatt,Pallavi Dutt,5.388850000000003
"Dr, Kamini",2003.0,134.0,Thriller,,,Shakeela,Unknown,Unknown,Unknown,5.998833333333334
Dr. Iqbal,1978.0,134.0,Documentary,,,Khwaja Ahmad Abbas,Unknown,Unknown,Unknown,6.414599999999999
Dr. Kumar,1944.0,134.0,Drama,,,Kishore Sharma,Balwant Singh,Paresh Bannerjee,Khurshid Jr.,6.299583333333332
Dr. Madhurika,1935.0,171.0,Unknown,,,Sarvottam Badami,Sabita Devi,Motilal,Padma Shaligram,6.801
Dr. Mukta,2000.0,134.0,Drama,,,Ramesh Talwar,Amar Babaria,Jaya Bachchan,Abhay Chandarana,5.931385714285711
Dr. Shaitan,1960.0,134.0,Unknown,,,Helen,Sheikh Mukhtar,Prem Nath,Shakila,6.352866666666668
Dr. Z,1959.0,134.0,Action,,,Jal,Mahipal,Nirupa Roy,Hiralal,5.675550000000003
Draupadi,1944.0,134.0,Fantasy,,,Baburao Patel,Sushila Rani,Chandra Mohan,Mazhar Khan,4.805
Draupadi Vastraharan,1952.0,134.0,Unknown,,,W. Garcher,Amarnath,Mangla,Shahu Modak,6.673333333333331
Dream City Mumbai,2016.0,134.0,Mystery,,,Abdul Rahman Kazi,Ankita Bambulkar,Kalyanji Jana,Unknown,4.517499999999999
Dream Lock,2016.0,100.0,"Crime, Drama, Mystery",,,Vishal Raj,Nikkesha,Faisal Sayed,Neetu Singh,4.598999999999998
Dream Zindagi,2017.0,198.0,Drama,,,Raj Rajawat,Shubhra Ghosh,Aliya Khan,Seema Singh,5.239999999999998
Dreaming Taj Mahal,2010.0,51.0,Documentary,,,Nirmal Chander,Unknown,Unknown,Unknown,6.963000000000003
Dreams Hopes and Bollywood,2014.0,95.0,"Drama, Music",,,Mohit Srivastava,Unknown,Unknown,Unknown,7.126999999999999
Drishyaantar: Imaginary Line,2002.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,5.835530555555551
Driving Miss Palmen,2000.0,134.0,Drama,,,Lernert Engelberts,Arnoud Holleman,Shashi Ranjan,Tom Alter,5.515442857142857
Drugs and Aids,1995.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,6.335333333333331
Dry,2017.0,103.0,Drama,,,Vishakh Punna,Roshan Mathews,Navas M.H.,Sulfi Sulfikar,4.871833333333329
Du-Janay,1983.0,134.0,Unknown,,,Ardhendu Chatterjee,Unknown,Unknown,Unknown,5.524
Dukh Sukh,1942.0,134.0,Unknown,,,Ram Daryani,Mukesh,Unknown,Unknown,4.71733333333333
Dukh Sukh,1974.0,134.0,Drama,,,Sandeep Kumar,Jyothi Lakshmi,Vijayalalitha,Unknown,6.214000000000002
Dukh-Dard,1988.0,134.0,Drama,,,Syed-Hasan,Arjun Chakraborty,Janeshwari,Praveen Kumar,5.662716666666667
Dukhiyari,1937.0,134.0,Unknown,,,Nazir,Unknown,Unknown,Unknown,4.504466666666667
Dukhiyari,1948.0,134.0,Unknown,,,D.K. Ratan,Surendra,Trilok Kapoor,Meena Shorey,6.339066666666664
Dukhtare Hind,1934.0,134.0,Unknown,,,Anand Prasad Kapoor,Bhudo Advani,Tara,Unknown,5.6865000000000006
Dulhan,1938.0,134.0,Unknown,,,Premankur Atorthy,Unknown,Unknown,Unknown,4.040900000000004
Dulhan,1943.0,134.0,Unknown,,,Gunjal,Kanhaiyalal Chaturvedi,Unknown,Unknown,4.556666666666663
Dulhan Bani Daayan,1999.0,134.0,Horror,,,Dinesh Thakkar,Anirudh Agarwal,Birbal,Chandni Gupta,4.163566666666665
Dulhan Chand Raaton Ki,2005.0,134.0,Thriller,,,Unknown,Unknown,Unknown,Unknown,5.872000000000006
Dum Daar,2005.0,134.0,Action,,,Murali,Rangayana Raghu,Unknown,Unknown,4.785928571428576
Duniya,1949.0,134.0,"Drama, Family",,,S.F. Hasnain,Karan Dewan,Suraiya,Shakila,6.412283333333332
Duniya Diwani,1943.0,134.0,Unknown,,,Bibi,Eddie Billimoria,W.M. Khan,Ramola,5.921715873015875
Duniya Ek Sarai,1946.0,134.0,Unknown,,,Kidar Nath Sharma,Meena Kumari,Unknown,Unknown,6.050250000000008
Duniya Ek Tamasha,1942.0,134.0,Unknown,,,Dwarka Khosla,Sardar Akhtar,Unknown,Unknown,4.71733333333333
Duniya Gol Hai,1955.0,134.0,Drama,,,Om Prakash,Karan Dewan,Anita Guha,Kuldip Kaur,7.220333333333332
Duniya Hai Dilwalon Ki,1966.0,134.0,Romance,,,Agha,Master Bhagwan,Uma Dutt,Daisy Irani,6.3846666666666625
Duniya Ke Rangeen Raatein,1997.0,134.0,Drama,,,Mohan Sulibhavi,Anchana,Archana,Chandrashekhar,5.006366666666662
Duniya Khatam Ho Rahi Hai,2017.0,110.0,Comedy,,,Karan Kashyap,Rahul Bhardwaj,Amit Kasera,Shirish Soni,5.583000000000003
Duniya Kya Hai,1938.0,134.0,Drama,,,G.P. Pawar,Ghanshyam,Madhav Kale,Lalita Pawar,5.678000000000002
Duniya Kya Jane,1971.0,134.0,Drama,,,C.V. Sridhar,Anupama,Bharti,Sulochana Chatterjee,5.9912499999999955
Duniya Nachegi,1967.0,151.0,Unknown,,,Kalpataru,Kishore Kumar,Kumkum,Mukri,5.9864999999999995
Duniya Paagal Hai,1987.0,134.0,Comedy,,,Unknown,Unknown,Unknown,Unknown,5.682999999999996
Duniya Tumhari Hai,1942.0,134.0,Unknown,,,G.P. Pawar,Unknown,Unknown,Unknown,5.206666666666664
Duniyaa Jhukti Hai,1996.0,134.0,"Drama, Romance",,,Yash Chouhan,Sadashiv Amrapurkar,Jamuna,Anupam Kher,5.796999999999998
Duniyadari,1948.0,134.0,Unknown,,,Satyapal,Sophia,Ghori,Unknown,6.538583333333337
Dunk,1978.0,134.0,Thriller,,,Z.M. Basu,Satish Kaul,Rehana Sultan,Unknown,5.900899999999999
Dunno Y3,1997.0,134.0,Romance,,,Kapil Kaustubh Sharma,Bidita Bag,Zarina Wahab,Kitu Gidwani,5.852083333333334
Duplicate Jaani Dushman,2003.0,87.0,Horror,,,Jaspal Neelam,Poonam Dasgupta,Brij Gopal,Aman Sagar,5.017833333333337
Durga,1939.0,135.0,Drama,,,Franz Osten,Vishnupant Aundhkar,Saroj Borkar,Enver,5.685
Durga,1989.0,134.0,Unknown,,,Basu Chatterjee,Somesh Agarwal,Unknown,Unknown,3.9759999999999995
Durga Maiya,2002.0,116.0,Action,,,Devayani,Rami Reddy,Roja,Unknown,5.74308333333333
Durga Mata,1959.0,134.0,Drama,,,Ranga B.S.,Unknown,Unknown,Unknown,6.075857142857142
Durga Pooja,1962.0,134.0,Drama,,,Adarsh,Poonam Kapoor,Ananth Kumar,Champak Lal,6.0034999999999945
Durga Puja,1954.0,134.0,Unknown,,,Dhirubhai Desai,Trilok Kapoor,Yashodra Katju,Shahu Modak,6.989066666666669
Durga Rani Singh,1997.0,134.0,Unknown,,,Unknown,Unknown,Unknown,Unknown,4.969000000000005
Durgan,1996.0,134.0,Action,,,Sanjay Bhattacharya,Akshay Anand,Chandni,Unknown,7.114999999999991
Durjan,1996.0,134.0,Action,,,Sanjay Bhattacharya,Akshay Anand,Chandni,Sunil Dutt,5.274961904761904
Dushman,1950.0,134.0,Drama,,,Phani Majumdar,Unknown,Unknown,Unknown,6.3357500000000035
Dusht,2004.0,134.0,Thriller,,,Munir Khan,Pinky Chinoy,Dharmerndra Choudhary,Mohan Joshi,4.864033333333334
Dusty to Meet Rusty,2021.0,134.0,"Adventure, Drama",,,Glen Barreto,Unknown,Unknown,Unknown,6.429749999999998
Dwarikadheesh,1956.0,134.0,Drama,,,Natwar Shyam,Nirupa Roy,Shahu Modak,Ruby Mayer,6.467199999999999
Dwimukha,2021.0,122.0,"Comedy, Drama, Mystery",,,Madhu Shrikaar,Praveen Atharva,Vijay Chandra,Vijay Chendoor,4.229666666666667
Dynamite,1938.0,134.0,Unknown,,,Chimanlal Luhar,Bhudo Advani,Unknown,Unknown,3.914733333333335
Educated Wife,1932.0,134.0,Unknown,,,Patience Cooper,Unknown,Unknown,Unknown,4.013766666666662
Ee Nootandile Maha Rogam,1987.0,134.0,Unknown,,,N. Sankaran Nair,Captain Raju,Anuradha,Jayamalini,5.344083333333334
Een Olifant is in het dorp gekomen,2013.0,59.0,"Documentary, News",,,Louis Spoelstra,Unknown,Unknown,Unknown,6.443999999999996
Eer: Stories in Stone,2011.0,52.0,Documentary,,,Sriprakash,Unknown,Unknown,Unknown,6.617999999999998
Egaro Mile,1991.0,180.0,Documentary,,,Ruchir Joshi,Subol Das,Ma Gosai,Gour Khepa,5.5169999999999995
Ehsaan Aap Ka,1981.0,134.0,Romance,,,S. Yusuf,Vijayendra Ghatge,Deepti Naval,Rakesh Pandey,6.165083333333337
Ehsan,1954.0,134.0,Unknown,,,Gulab,Kamal Kapoor,Prithviraj Kapoor,Shammi Kapoor,6.944816666666669
Ek Aadhi Raat,2005.0,134.0,Thriller,,,Unknown,Unknown,Unknown,Unknown,5.872000000000006
Ek Aadmi,1988.0,134.0,Drama,,,Khwaja Ahmad Abbas,Tun Tun,Akashdeep,Tinnu Anand,5.7970999999999995
Ek Aatma,2000.0,134.0,Horror,,,R. Somasundram,Pandiarajan,Manivannan,Mansoor Ali Khan,3.8267119047619054
Ek Adhuri Dastaan,1997.0,134.0,Thriller,,,Nirbhay Chaudhary,Gaurav Sadh,Unknown,Unknown,5.757000000000001
Ek Anari Duja Khiladi,2000.0,134.0,Action,,,Radhika Chaudhari,Kushboo,Raasi,Vijayakanth,4.774833333333335
Ek Anokhi Dulhan - Saavi,2017.0,101.0,Drama,,,Rajeev Kumar,Daljinder Basran,Mahabir Bhullar,Manni Boparai,6.975636904761906
Ek Armaan Mera,1959.0,134.0,"Adventure, Fantasy, Romance",,,Gunjal,Jayshree Gadkar,Sohan Kapila,Malika,6.30242857142857
Ek Aur Daasi,2002.0,134.0,Drama,,,Israr Ahmed,Israr Ahmed,Bhanupriya,Krishna Ghattamaneni,5.023447222222221
Ek Aur Dharmatma,1991.0,134.0,Action,,,Nagma,Sathyaraj,Unknown,Unknown,6.122333333333334
Ek Aur Hasti,1993.0,134.0,Action,,,Sivaranjini,Sukanya,Arvind Swamy,Unknown,6.433999999999998
Ek Aur Itihas,1987.0,134.0,Unknown,,,Prakash Jha,Unknown,Unknown,Unknown,4.412999999999998
Ek Aur Janam,2005.0,134.0,Thriller,,,U.C. Roshan,Shakeela,Unknown,Unknown,5.979866666666669
Ek Aur Kalicharan,2005.0,134.0,Action,,,Birbal,Ali Khan,Rajesh Sabharwal,Gurbachan Singh,5.218530952380953
Ek Aur Khoon,1987.0,134.0,Horror,,,Ramesh Bedi,Seema Deo,Ashok Kalra,Mohan Kothivan,5.6293000000000015
Ek Aur Laawaris,2004.0,134.0,Action,,,Unknown,Unknown,Unknown,Unknown,5.3034285714285785
Ek Aur Maut,2001.0,134.0,Mystery,,,Jugraj,Goga Kapoor,Madhumani,Raza Murad,4.70534285714286
Ek Aur Prem Kahani,2004.0,134.0,Romance,,,H. Gautam,Shalini Kapoor,Inder Kumar,Rajeshwari Sachdev,4.215649999999999
Ek Aur Prem Pratigya,2005.0,134.0,Action,,,Mohanlal,Meena,Cochin Hanifa,Unknown,5.102338095238097
Ek Aur Sangraam,1982.0,134.0,Action,,,R.P. Swamy,Vijay Arora,Padmini Kapila,Rajendranath Malhotra,4.11926984126984
Ek Aur Sangram,1996.0,134.0,Action,,,Brahmanandam,Ramya Krishnan,Sharat Saxena,Soundarya,5.0176952380952375
Ek Aur Suhagan,1997.0,134.0,Unknown,,,Desh Gautam,Alka,Bharat Bhushan,Bachan Bijnori,5.640500000000003
Ek Aur Ziddi Man,1995.0,134.0,Action,,,C. Arunpandian,Roja,Unknown,Unknown,6.039083333333334
Ek Aurat,1948.0,134.0,Unknown,,,S.D. Narang,Hiralal,Unknown,Unknown,4.5206666666666715
Ek Aurat Do Joote,1978.0,134.0,Comedy,,,Sushil Vyas,Madhu Chauhan,I.S. Johar,Mehmood Jr.,6.61633333333333
Ek Baar Aaona,1998.0,134.0,Thriller,,,Priti Gill,Ravish Pandey,Unknown,Unknown,5.418000000000003
Ek Baar Mazaa Lijiye,2010.0,79.0,Romance,,,Shashi Shekhar,Rehan Khan,Aman Khan,Riya Sharma,4.957000000000001
Ek Baat Raat Ki,2004.0,134.0,Thriller,,,Amrutha,Rajasekar,Unknown,Unknown,5.957666666666667
Ek Badi Si Love Story,2003.0,134.0,Romance,,,Asif,Bindu Kamat,Manisha,Unknown,5.873542857142854
Ek Betuke Aadmi Ki Afrah Raatein,2019.0,110.0,Drama,,,Sharad Raj,Archanna Guptaa,Adil Hussain,Raghav Jhingran,5.5398333333333305
Ek Bhool Chhoti Si,2004.0,134.0,Thriller,,,Firoz Ali,Shiva Rindani,Shakeela,Sonia Singh,4.610600000000001
Ek Bulandi,1999.0,134.0,Action,,,Abbas,Meena,Raasi,Rami Reddy,4.957233333333336
Ek Bura Aadmi,1997.0,134.0,Thriller,,,Ishraq Shah,Raghuvir Yadav,Arunoday Singh,Yashpal Sharma,5.35658333333333
Ek Chalbaaz,1983.0,134.0,Action,,,Bapu,Chiranjeevi,Poornima Jayaram,Poornima,4.879911904761907
Ek Chotisi Aasha,1998.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,6.148533333333331
Ek Dharti Sone Ki,1978.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,5.872714285714282
Ek Din Aadhi Raat,1971.0,126.0,"Romance, Thriller",,,Kamal Sharma,Kumkum,Sujit Kumar,Aruna Irani,6.695000000000001
Ek Din Anjaane Mein,2005.0,134.0,Drama,,,Bappaditya Roy,Rinke Khanna,Mammootty,Manoj Pahwa,4.730444047619043
Ek Din Ka Badshah,1964.0,129.0,"Action, Adventure, Drama",,,Jugal Kishore,Nishi,Paidi Jairaj,Daljeet,6.324904761904763
Ek Do,1971.0,134.0,Animation,,,Bhimsain,Unknown,Unknown,Unknown,6.942999999999994
Ek Do Teen,1953.0,140.0,Comedy,,,R.K. Shoery,Meena Shorey,Motilal,Majnu,6.544999999999996
Ek Do Teen,1991.0,134.0,Drama,,,Pushkar Jog,Unknown,Unknown,Unknown,6.2675999999999945
Ek Dopahar (An Afternoon),2021.0,90.0,Drama,,,Leena Malhotra,Dinkar Rao,Sheel Kalia,Antara Rao,6.964499999999995
Ek Elan-e-jung,2007.0,134.0,Drama,,,Krishna Vamsi,Unknown,Unknown,Unknown,6.43545
Ek Faisla,1942.0,134.0,Drama,,,Moti B. Gidwani,Unknown,Unknown,Unknown,5.860999999999993
Ek Gaon Ki Kahani,1975.0,136.0,Drama,,,S.S. Balan,Manjula,Rakesh Pandey,Jayshree Gadkar,6.851916666666669
Ek Gulelbaaz - The Catapult,1997.0,134.0,Drama,,,Manoj Kumar,Hemant Pandey,Gauri Shankar,Unknown,6.118533333333331
Ek Gulelbaaz the Catapult,2019.0,116.0,"Drama, Family",,,Manoj Kumar,Hemant Pandey,Gauri Shankar,Aishwarya Arora,6.514000000000003
Ek Gumrah,2000.0,134.0,Thriller,,,Manjul Kapoor,Adi Irani,Anil Nagrath,Nirmal Pandey,4.668142857142857
Ek Gunah Aur Sahi,1968.0,134.0,Thriller,,,Unknown,Unknown,Unknown,Unknown,6.455999999999992
Ek Hans Ka Jora,1975.0,128.0,Romance,,,Avtar Bhogal,Anil Dhawan,Zaheera,Brahm Bhardwaj,6.171
Ek Hatyara,1994.0,134.0,Action,,,Raghuvaran,Radhika Sarathkumar,Sathyaraj,Silk Smitha,4.505910714285715
Ek Hi Bhool,1940.0,134.0,Unknown,,,Vijay Bhatt,Meena Kumari,Unknown,Unknown,4.238066666666667
Ek Hi Bhool,2005.0,134.0,Thriller,,,Milind Gunaji,Shakti Kapoor,Monalisa,Unknown,5.427800000000003
Ek Hi Manzil,2000.0,134.0,Romance,,,Unknown,Unknown,Unknown,Unknown,5.032000000000006
